Shelley's office reported Friday that 575,926 signatures have been reported to him.	The island nation reported 65 new cases on May 22, a one day record, and 55 new cases on May 23, making Taiwan's epidemic the fastest-growing in the world.	There are a total of 659 women enrolled at the academy, the report said.	North American futures pointed to a sub-par start to trading on Tuesday, with investors ready to get their first taste of quarterly earnings.	Calvin Hollins Jr.'s attorney, Thomas Royce, has repeatedly said his client had no link with the company that owned and operated E2.
As the European Parliament, in its resolution of 16 March 2000, that they initiatives does the Council intend to take to play a more active role in order to ensure the full and entire application of the UN peace plan?	The other point of view, illustrated by the original words of the rapporteur and shared by many colleagues, is to promote the regulations and the codes of conduct needed to establish, between insurers, forms of mutual costs guaranteeing to all the provision of a good quality of care and to counter the risk of seeing develop discriminatory practices and a selection of risks and customers.	If employment is the political priority of the Union, fishing, as an economic sector, cannot remain on the sidelines.	In addition, we would like to be likely to prove in Europe which we are able to develop only the constitutional equality of Serbia and Montenegro within Yugoslavia, by recognizing the true democratic principles.	Mr President, I voted in favour of the García-Margallo y Marfil report, which concerns the taxation of services provided by electronic means.

That was changed in the face of criticism, especially from Ireland and France, and a different spin has now been put on it by the British Chancellor of the Exchequer: it is now being portrayed as a user charge for all, including British lorry drivers.	(Parliament accepted the oral amendment)	I think that France has set an excellent example by finally deciding to take this step.	This is also the position advocated by the rapporteur, and it is shared by the European People' s Party.	It must genuinely be a centre for coordinating the network of national agencies which, in turn, must activate and coordinate a network of centres of excellence for food safety at the level of the individual regions.
Vis-a-vis criticisms, particularly those of Ireland and France, the British Chancellor of the Exchequer gave a new interpretation of it: it would be now about a tax for all the users, including the British drivers of heavy lorries.	(Parliament accepts the oral amendment)	I find exemplary that France determined itself to cross this step.	That is the position defended by the rapporteur and shared by the European People's Party.	It must be the true brain coordination of the network of national agencies, which, in turn, must activate and coordinate a network of centres of excellence of food safety at regional level.

The right of a government arbitrarily to set aside its own constitution is the defining characteristic of a tyranny.	Declarations must be followed by concrete steps to trace, freeze, seize and confiscate the proceeds of crime.	I also voted against a text which calls for the incorporation of the Charter of Fundamental Rights into the eventual Treaty of Nice.	This is no time for the faint-hearted.	Given this situation, there is an inescapable need for greater involvement and greater effectiveness in the fight against poverty and underdevelopment.
The right for a government to dismiss arbitrarily its constitution is the definition of a characteristic tyranny.	The debate must be followed by concrete actions to identify, freeze, seize and confiscate the proceeds of crime.	I also voted against a text which calls for the incorporation of the Charter of Fundamental Rights in the future Treaty, which will be adopted in Nice.	This is not the time to be hesitant.	Given these realities, the need for greater involvement and greater efficiency in the fight against poverty and underdevelopment is essential.

Mr President, I would like to focus in my speech on Mrs Lalumière' s report, which I think is clearly worded and well put together.	I should also have liked the Court of Auditors' report to have been a little more user-friendly and to have provided a number of clear recommendations, for example one or two per chapter.	The lesson for this Parliament this morning must be that we have to conclude that maritime laws throughout the world are in a state of shambles and we have to begin the process of putting them right.	The Council of Europe, along with the Court of Human Rights, has a wealth of experience of such forms of supervision, and we can build on these.	Clearly, explanations are necessary for the increased incidence of BSE, not only in France but also in other Member States.
Mr President, in my speech I shall focus on the report by Mrs LalumiÃšre report, which I think is well thought-out and clearly formulated.	I would also have liked to see the report of the Court of Auditors was a little more user-friendly and that he had tabled a number of clear recommendations, for example, one or two recommendations by chapter.	The lesson that this House in this morning's debate must learn is that we are forced to conclude that the maritime laws are all over the world, in a state of chaos, and that we must set about the task to sort all this out.	As the Court of Human Rights, the Council of Europe has also solid experience as regards such forms of control. We can take as a basis.	We must obviously determine the reasons for the increase in the incidence of BSE, not only in France but also in other Member States.

It is this kind of future I would also like to see in the other countries within the European Union.	On my own behalf and on behalf of my colleagues in the Committee on Fisheries, I would ask you, Madam President, to send Parliament' s condolences to the families of the victims and to the local authorities in both Brittany and in Marín, Galicia, from where the majority of the victims came.	All those who are at present engaged in illicit work would obtain work with decent social conditions.	It must genuinely be a centre for coordinating the network of national agencies which, in turn, must activate and coordinate a network of centres of excellence for food safety at the level of the individual regions.	(Parliament accepted the oral amendment)
It is a development of this type which I hope in the other States of the European Union.	Madam President, I ask you, on behalf of my colleagues in the Committee on Fisheries and on my own behalf, to send a message of condolence from Parliament to the families of the victims and to the local authorities of both Brittany and of Marín, city of Galicia, which is from the majority of the victims.	All those who are currently working on the black market to obtain an employment in decent social conditions.	It must be the true brain of coordination of the network of the national agencies which, in their turn, will have to activate and coordinate a network of centers of excellence of food safety at the regional level.	(The House accepts the oral amendment)

Mr President, we took a great deal of care over preparing the Karamanou report in the Committee on Citizens' Freedoms and Rights, Justice and Home Affairs.	And I am telling you loud and clear: Kostunica must be given his chance here and I therefore hope that he will give amnesty in the next couple of weeks or months, but meanwhile, I do want the introduction of those two new budget lines, democratisation and reconstruction, to be accompanied by political conditions, both from a political and budgetary perspective.	People with the same business affairs in common are peacefully bound to one another.	On my own behalf and on behalf of my colleagues in the Committee on Fisheries, I would ask you, Madam President, to send Parliament' s condolences to the families of the victims and to the local authorities in both Brittany and in Marín, Galicia, from where the majority of the victims came.	The resolution on Nice, voted today, does not reflect this.
Mr President, the Committee on Citizens' Freedoms and Rights, Justice and we are to retain any prepared very carefully the Karamanou report.	And let me make it very clear: it is necessary to give its chance Kostunica, and I therefore hope that it will ensure an amnesty in the weeks and months ahead; but in the meantime, I wish, however, that, politically, and the budgetary level, the political conditions be coupled with the introduction of these two new budgetary lines, namely democratisation and reconstruction.	The common economic activities create peaceful bonds between the people.	Madam President, I would ask you, on behalf of my colleagues in the Committee on Fisheries and in my own name, to send a message of condolence on the part of Parliament to the families of the victims and the local authorities of Brittany as Marín, city of Galicia, where originating from most of the victims.	The resolution on the Nice Summit, which has just been passed, does not reflect the.

Mr President, we took a great deal of care over preparing the Karamanou report in the Committee on Citizens' Freedoms and Rights, Justice and Home Affairs.	Question No 6 by (H-0886/00):	I would urge the French Presidency to do their utmost to overcome this divide, because it is extremely destructive.	. (ES) Mr President, enlargement is essential for the construction of a strong and united European continent.	If we define a clear, binding framework for the Member States, then there should be a longer evaluation period for the various support systems required to satisfy these requirements.
Mr President, the Committee on Citizens' Freedoms and Rights, Justice and Internal Affairs has prepared with great care the Karamanou report.	Question No 6 by (H-0886 / 00):	I urge the French Presidency to should do everything in its power to bridge the gap particularly destructive.	Mr President, enlargement is essential for the construction of a European continent strong and united.	If we create a clear framework and binding on the Member States, the various systems to meet these requirements should have a longer period test.

The labelling of beef that was agreed on, which is a minimum form of labelling and only came into force two and a half months ago, does not make it possible for the origin of animals to be adequately traced, and we were very slow to ban specified risk materials.	But I would like to say to Parliament this afternoon that we should not lose sight of the fact that the EU spends just 1% of GDP and much of that is administered in the Member States.	When we are faced with a potential risk, it is important to apply the precautionary principle.	If we want to help Indonesia we must act now with money and deeds, not merely words.	The right of a government arbitrarily to set aside its own constitution is the defining characteristic of a tyranny.
The labelling of beef which has been decided, which is a minimum labelling and which has only been in force for two and a half months ago, does not properly to trace the origin of animals and we have banned rather belatedly specified risk material.	But I would like to say to the House this afternoon that we must not lose sight of the fact that the European Union spends only 1% of the GDP of the Member States and that the bulk of this money is administered in the Member States.	When we are confronted with a potential risk, it is important to implement the precautionary principle.	If we want to help Indonesia, we now have to intervene with money and concrete actions, and not only with words.	The right for a government to remove arbitrarily its constitution is defining characteristic of a tyranny.

You do not even intend to incorporate it into the Treaty, evidence indeed that this text, this exercise was always destined to be laid aside.	There has been a budget heading for the funding of mine clearance and prevention programmes for many years now.	The UK Labour members of the PES Group welcome the adoption of their contribution to the ongoing work of the IGC on reinforced cooperation, without endorsing every single detail.	The lesson for this Parliament this morning must be that we have to conclude that maritime laws throughout the world are in a state of shambles and we have to begin the process of putting them right.	It must genuinely be a centre for coordinating the network of national agencies which, in turn, must activate and coordinate a network of centres of excellence for food safety at the level of the individual regions.
You do not even want to incorporate it into the Treaty, which shows that this text was to be put to one side.	A budget line has programmes for mine clearance and prevention for years.	- British Labour members of the Group of the Party of European Socialists welcome the welcomed contribution to the continuous work of the IGC on closer cooperation, without fully adhere to all the details of it.	The lesson that must keep this Assembly in its debate of this morning is that we are forced to conclude that the maritime laws are, all over the world, in a State of mess, and that we should get down to the task to put in order.	It must be true brain of coordination of the network of national agencies which, in turn, will have to activate and coordinate a network of centres of excellence in food safety at regional level.

Those who stand apart from reinforced cooperation are really being given the same freedom as the back seat passengers in a car.	Given this situation, there is an inescapable need for greater involvement and greater effectiveness in the fight against poverty and underdevelopment.	This is also the position advocated by the rapporteur, and it is shared by the European People' s Party.	B5-0794/2000, by Mr Medina Ortega, Mr Linkohr and Mr Fava, on behalf of the Group of the Party of European Socialists, on the kidnap in Colombia of a Spanish Jesuit engaged in negotiations with the guerillas;	The lesson for this Parliament this morning must be that we have to conclude that maritime laws throughout the world are in a state of shambles and we have to begin the process of putting them right.
Those who deny the enhanced cooperation enjoy the same freedom of movement as passengers in the back seat of a car.	Given these realities, the need for greater involvement and greater efficiency in the fight against poverty and underdevelopment is essential.	That is the position defended by the rapporteur and shared by the European People's Party.	(B5-0794 / 2000, by Mr Medina Ortega, Linkohr and Mr Fava, on behalf of the Group of the Party of European Socialists, on the abduction by Colombia of a Spanish Jesuit engaged in negotiations with the guerrilla movement.	The lesson for us within this House in its debate this morning is that we are forced to conclude that the maritime laws are in the world, in a state of control, and that we must get down to the task to put its house in order.

- My party has serious reservations about Community law applying to the sale of consumer products, as against applying the concept of mutual recognition of standards.	We welcome the arrangements proposed in this respect by the Preparatory Committee and adopted by the General Assembly regarding procedures for the registration of non-governmental organisations for involvement in the preparatory process and the Special Session in September 2001.	It is this kind of future I would also like to see in the other countries within the European Union.	The UK Labour members of the PES Group welcome the adoption of their contribution to the ongoing work of the IGC on reinforced cooperation, without endorsing every single detail.	Given this situation, there is an inescapable need for greater involvement and greater effectiveness in the fight against poverty and underdevelopment.
My party serious reservations about the regulation of the sale of consumption by means of Community legislation, as it has reservations about the concept of mutual recognition of standards.	We welcome the measures proposed in this respect by the preparatory committee and decided by the General Assembly with regard to the system of accreditation of non-governmental organisations, with the preparatory process and the special session in September 2001.	It is an evolution of this type which I wish in the other States of the European Union.	The UK Labour Members of the PSE Group welcome the favourable response given to the contribution they have made to the continuing work of the IGC on closer cooperation, without adhering fully to all the details of this.	Vis-a-vis these realities, the need for a greater implication and a greater effectiveness in the fight against poverty and the underdevelopment is essential.

That is what we have done: we have avoided a budgetary crisis by going to Article 272; the financial perspective has been maintained, even though we have used the flexibility instrument.	B5-0794/2000, by Mr Medina Ortega, Mr Linkohr and Mr Fava, on behalf of the Group of the Party of European Socialists, on the kidnap in Colombia of a Spanish Jesuit engaged in negotiations with the guerillas;	Secondly, say no to the big bang idea of incorporating candidate countries simultaneously as a large group, since that would militate against the principle that each country should be admitted on its own merits.	The very worst situation is when the women concerned also come from distant countries, having taken the work on out of desperation because they have no other way of continuing to provide for themselves.	In Nigeria, Chevron has been accused by the All-Ijaw indigenous people of instigating violence against them and actually paying Nigerian soldiers to shoot protesters at the Warri naval base.
That is what we have done: we avoided a budgetary crisis back to Article 272, the financial perspective has been maintained, even if we use the flexibility instrument.	(B5-0794 / 2000, by Mr Medina Ortega, Linkohr and Mr Fava, on behalf of the Group of the Party of European Socialists, on the abduction by Colombia of a Spanish Jesuit engaged in negotiations with the guerrilla movement.	Secondly, we must say 'no' to the concept which bang would admit that at the same time an important group of countries, because that would be at odds with the principle of the admission of each country on its merits.	Things are getting worse when it is a matter of women from distant countries which have accepted this work by necessity and which have no alternative to continue to provide for their vital needs.	In Nigeria, the indigenous people all ijaw Chevron have accused of encouraging the violence against them and to go up to pay Nigerian soldiers to draw on the demonstrators at the naval base of Warri.

One could indeed wish for more and for improvement, but I honestly believe that we have made a good start.	Mr President, we took a great deal of care over preparing the Karamanou report in the Committee on Citizens' Freedoms and Rights, Justice and Home Affairs.	Firstly, simplification and clarification of the Treaties.	Given this situation, there is an inescapable need for greater involvement and greater effectiveness in the fight against poverty and underdevelopment.	That is a shameful state of affairs when we consider that the EU itself is a champion of modernised business practice.
One can indeed wish more and better, but I believe very honestly that it is a good start.	Mr. President, the Committee on Citizens and of the rights of citizens, justice and the businesses interiors prepared with much care the Karamanou report/ratio.	Initially, that of a simplification and a clarification of the Treaties.	Vis-a-vis these realities, the need for a greater implication and a greater effectiveness in the fight against poverty and the underdevelopment is essential.	It is a disgrace when we think that the European Union raises champion of the modernisation of economic life!

I find it rather odd that people are already trying to tie the Commission's hands in relation to the proposal for a directive, while at the same calling on it to present a Green Paper on the current situation with regard to optional and supplementary health insurance schemes.	And I am telling you loud and clear: Kostunica must be given his chance here and I therefore hope that he will give amnesty in the next couple of weeks or months, but meanwhile, I do want the introduction of those two new budget lines, democratisation and reconstruction, to be accompanied by political conditions, both from a political and budgetary perspective.	Therefore, I also believe that this reconciliation is sustainable, but that the government, which has very courageously found a solution to the university issue and to many other issues, needs visible signs of its success, and powerful support, else peace throughout the region will be under threat.	(Parliament accepted the oral amendment)	While withdrawing the resolution, however, I express the conviction that this Parliament would have made its voice heard better if, in anticipation of the Council of Nice, it had devoted a specific and separate resolution to these important and difficult topics of the Intergovernmental Conference, instead of dealing with them in a single resolution that also embraces all the other points on the Council agenda.
I find a little strange to want as of now forcing the Commission with a motion for resolutions and to ask him in the same time to establish one Green Paper on the current state of the voluntary insurances and the complementary health insurances.	And I would say to you very clearly: it must be given a chance to Kostunica, and I therefore hope that it will provide an amnesty over the coming weeks or months; but in the meantime, I hope, however, that, in political terms and in budgetary terms, the political conditions are linked to the introduction of these two new budget lines, namely democratisation and reconstruction.	That is why I believe that this reconciliation can take. However, the government, which has very courageously found a solution to the issue of universities and many other problems, needs visible signs of success and a strong support, otherwise the threatened peace throughout the region.	(Parliament accepted the oral amendment)	By withdrawing our resolution, I nevertheless expresses the conviction that our Parliament would have done better its voice heard in devoting, in view of the Nice European Council, a specific and separate resolution to the issues so important and so difficult for the Intergovernmental Conference, rather than dealt with in the context of a single resolution including also all the other items on the agenda for the Council.

I know that in France they have had whole herd slaughter and this does not seem to be the best way forward.	Mr President, the Commission' s attitude to the right of access to documents may be seen from the internal handbook sent on 11 October to employees of the Commission to tell them how to deal with requests from MEPs for access to documents.	We have started to exchange ideas on this question, from which it has emerged that all the Member States want to maintain this ceiling after enlargement.	Finally, I welcome the idea that we should review the implementation of the programme annually.	But I would like to say to Parliament this afternoon that we should not lose sight of the fact that the EU spends just 1% of GDP and much of that is administered in the Member States.
I know that in France, the principle of the slaughter of whole herds was applied and that does not seem to be the best way to combat this phenomenon.	Mr President, we can see the Commission's position in terms of public access to documents by reading the internal manual which was given on 11 October, with the Commission officials in order to explain the way in which they were to deal with the requests from the Members with regard to access to documents.	We have started to have discussions on this issue, making it clear that all the Member States wish to maintain this ceiling after enlargement.	Finally, I welcome the idea of giving an annual meeting in order to make an assessment of the implementation of the programme.	Nevertheless I would wish to say to the Parliament this afternoon that we should not lose sight of the fact the fact that the European Union spends only 1% of the GDP of the Member States and that the largest part of this money is managed in the Member States.

Knowledge of foreign languages is accepted as a necessary precursor to mobility.	The UK Labour members of the PES Group welcome the adoption of their contribution to the ongoing work of the IGC on reinforced cooperation, without endorsing every single detail.	This is our priority fight in order to ensure that the affirmation of fundamental rights is put into practice in our political decisions.	We welcome the arrangements proposed in this respect by the Preparatory Committee and adopted by the General Assembly regarding procedures for the registration of non-governmental organisations for involvement in the preparatory process and the Special Session in September 2001.	On my own behalf and on behalf of my colleagues in the Committee on Fisheries, I would ask you, Madam President, to send Parliament' s condolences to the families of the victims and to the local authorities in both Brittany and in Marín, Galicia, from where the majority of the victims came.
It is accepted that the knowledge of languages is a reference to the mobility.	- British Labour members of the Group of the Party of European Socialists welcome the welcomed contribution to the continuous work of the IGC on closer cooperation, without fully adhere to all the details of it.	It is our priority fight so that the affirmation of fundamental rights is implemented in political choices.	We welcome the proposed provisions in this respect by the preparatory committee and decided by the General Assembly as regards the way accreditation non-governmental organisations, the preparation process and the special session in September 2001.	Madam President, I ask you, on behalf of my colleagues in the Committee on Fisheries and on my own behalf, to send a message of condolence from Parliament to the families of the victims and the local authorities of both Brittany that Marín, city of Galicia, where are from most of the victims.

That was changed in the face of criticism, especially from Ireland and France, and a different spin has now been put on it by the British Chancellor of the Exchequer: it is now being portrayed as a user charge for all, including British lorry drivers.	I call on Prague to respond to this signal, this challenge, this plea for dialogue, to grant our request and to ensure, together with our House, that this legacy of a nationalist era can be consigned to the past.	This is our priority fight in order to ensure that the affirmation of fundamental rights is put into practice in our political decisions.	If we define a clear, binding framework for the Member States, then there should be a longer evaluation period for the various support systems required to satisfy these requirements.	The French Presidency thanks you, Madam President, ladies and gentlemen, for this cooperation, for your support and also for the warm reception you have given us.
Faced with the criticism, especially those in Ireland and France, the British Chancellor of the Exchequer, gave a different interpretation: it is now a tax for all users, including the British drivers of heavy goods vehicles.	I would urge Prague to seize this sign, this invitation, this request for dialogue, to follow them up, and to ensure that, together with this House, these relics of a nationalist era can be abandoned.	This is our struggle for priority that the affirmation of fundamental rights to be implemented in political choices.	If we define a clear and binding framework for the Member States, the various systems to meet these demands should have a longer period of put to the test.	For this cooperation, for your support and also for your reception, Madam President, ladies and gentlemen, Europe, the French Presidency would like to thank you.

I call on Prague to respond to this signal, this challenge, this plea for dialogue, to grant our request and to ensure, together with our House, that this legacy of a nationalist era can be consigned to the past.	It is this kind of future I would also like to see in the other countries within the European Union.	As there is still a lot of uncertainty, we must know what the scientific facts are and what action must be taken.	The French Presidency thanks you, Madam President, ladies and gentlemen, for this cooperation, for your support and also for the warm reception you have given us.	We have heard that the previous Council Presidency first restructured and then scrapped the Ministry for Equality.
I call on Prague to seize this sign, this invitation, this request for dialogue, to follow them up and to ensure that, together with this House, these relics of a nationalist era can be abandoned.	This is a development of this kind that I wish the other Member States of the European Union.	We need to know today, since we are still in uncertainty, what are the scientific data, what are the measures to be taken.	For this cooperation, for your support and also for your welcome, Madam President, ladies and gentlemen of the European institutions, the French Presidency thank you.	We have heard that the previous presidency was first restructured then dismantled the Ministry of equal opportunities.

On the other hand, we would like to be given a chance to prove to Europe that we are able to develop the constitutional equality of Serbia and Montenegro within Yugoslavia on our own, by recognising the genuine principles of democracy.	I also voted against a text which calls for the incorporation of the Charter of Fundamental Rights into the eventual Treaty of Nice.	This is a vague area, and it is possible that more restrictive provisions may also remain in force, and this is one point in respect of which we have tabled amendments.	It is gratifying that Parliament has succeeded in producing a large majority in favour of more openness.	We have started to exchange ideas on this question, from which it has emerged that all the Member States want to maintain this ceiling after enlargement.
Furthermore, we would like to have a chance to prove to the Europe that we are able to develop only the constitutional equality of Serbia and Montenegro in Yugoslavia, recognising the genuine democratic principles.	I have also voted against a text which calls for the incorporation of the Charter of Fundamental Rights into the future Treaty which will be adopted in Nice.	Things are not clear on this point, and it is not impossible that can also remain in force more restrictive measures, and that is particularly on this point that we have tabled amendments.	It is necessary to be delighted that the Parliament succeeded in gathering a broad majority in favour of a greater transparency.	We have started to have exchanges on this issue, where it emerges that all the Member States want the maintenance of this ceiling after enlargement.

The other viewpoint illustrated by the rapporteur' s initial statement and shared by a number of members is to promote regulations and codes of conduct which are needed in order to establish among insurers ways of organising costs on a mutual basis providing everybody with guaranteed access to high-quality care and to counter the risk of discriminatory practices developing together with risk and client selection.	Mr President, we took a great deal of care over preparing the Karamanou report in the Committee on Citizens' Freedoms and Rights, Justice and Home Affairs.	The UK Labour members of the PES Group welcome the adoption of their contribution to the ongoing work of the IGC on reinforced cooperation, without endorsing every single detail.	At Feira, the Council considered those countries participating in the Stabilisation and Association Process as potential applicants for membership of the European Union.	The resolution on Nice, voted today, does not reflect this.
The other point of view, illustrated by the rapporteur's original and shared by many colleagues, is to promote the rules and codes of conduct needed to build, between insurers, forms of degree of costs guaranteeing all the supply of good quality care and to counter the risks of discriminatory practices and a risk selection and customers.	Mr President, the Committee on Citizens' Freedoms and Rights, Justice and Internal Affairs has prepared with great care the Karamanou report.	- British Labour members of the Group of the Party of European Socialists welcome the welcomed contribution to the continuous work of the IGC on closer cooperation, without fully adhere to all the details of it.	In Feira, it has recognised the quality of potential candidates for accession to the countries participating in the stabilisation and association process.	The resolution on the Nice Summit, which has just been voted, does not reflect it.

The Council of Europe, along with the Court of Human Rights, has a wealth of experience of such forms of supervision, and we can build on these.	The Committee on Legal Affairs and the Internal Market rightly insists on no upper limit and a minimum of no less than 7%.	The labelling of beef that was agreed on, which is a minimum form of labelling and only came into force two and a half months ago, does not make it possible for the origin of animals to be adequately traced, and we were very slow to ban specified risk materials.	Declarations must be followed by concrete steps to trace, freeze, seize and confiscate the proceeds of crime.	As there is still a lot of uncertainty, we must know what the scientific facts are and what action must be taken.
As the Court of Human Rights, the Council of Europe also has a solid experience with regard to such forms of control we can take it as a basis.	It is rightly that the Committee on Legal Affairs and Citizens' Rights persists in the rejection of a ceiling and in the maintenance of a minimum rate which cannot be below 7%.	The labelling of beef which has been decided, which is a minimum labelling and which has only been in force for two and a half months ago, does not properly to trace the origin of animals and we have banned rather belatedly specified risk material.	Statements must be matched by action to identify, freeze, seize and confiscate the proceeds of crime.	We need to know today, since we are still in uncertainty, which are the scientific data, which are the measures to be taken.

I would urge the French Presidency to do their utmost to overcome this divide, because it is extremely destructive.	Mr President, I voted for the García-Margallo y Marfil report on the taxation of electronic commerce.	Mr President, the Commission' s attitude to the right of access to documents may be seen from the internal handbook sent on 11 October to employees of the Commission to tell them how to deal with requests from MEPs for access to documents.	The Council of Europe, along with the Court of Human Rights, has a wealth of experience of such forms of supervision, and we can build on these.	Mr President, I would like to focus in my speech on Mrs Lalumière' s report, which I think is clearly worded and well put together.
I appeal urgently to the French Presidency to do everything in its power to fulfil this particularly destructive gap.	Mr President, I voted in favour of the Garcia-Margallo y Marfil report, which deals with the taxation of services provided electronically.	Mr President, we know the position of the Commission on public access to documents in reading the internal manual, which was submitted, on 11 October, the Commission's officials in order to explain the way in which they were to deal with the requests from the Members regarding access to documents.	Just as the European Court of Human Rights, the Council of Europe has also considerable experience with regard to these forms of control; we can take as a basis.	Mr President, in my speech I shall focus on the report by Mrs LalumiÃšre report, which I think is well thought-out and clearly formulated.

We have heard that the previous Council Presidency first restructured and then scrapped the Ministry for Equality.	I think that France has set an excellent example by finally deciding to take this step.	Unfortunately, the ultimate objective of a European Constitution would be precisely the opposite, and so, of course, we cannot vote for it.	Lastly, and most controversially, the committee strongly called for the use of a fast-track procedure to implement this legislation.	All those who are at present engaged in illicit work would obtain work with decent social conditions.
We have heard that the previous presidency has first restructured and then dismantled the Ministry of equal opportunities.	I find that France exemplary committed itself to take this step.	Unfortunately the final objective of a European Constitution would be exactly the opposite and of course we cannot agree.	Finally, and this is a more controversial topic, the Committee has called with vigour to make use of the fast-track procedure to implement this legislation.	All those which currently work with the black would obtain an employment under decent social conditions.

But I would like to say to Parliament this afternoon that we should not lose sight of the fact that the EU spends just 1% of GDP and much of that is administered in the Member States.	It is this kind of future I would also like to see in the other countries within the European Union.	The very worst situation is when the women concerned also come from distant countries, having taken the work on out of desperation because they have no other way of continuing to provide for themselves.	Lastly, and most controversially, the committee strongly called for the use of a fast-track procedure to implement this legislation.	It must genuinely be a centre for coordinating the network of national agencies which, in turn, must activate and coordinate a network of centres of excellence for food safety at the level of the individual regions.
However, I would like to say to the House this afternoon that we should not lose sight of the fact that the European Union spends only 1% of GDP of the Member States and that most of this money is managed in the Member States.	It is a development of this type which I hope in the other States of the European Union.	The situation is worsening, when it comes to women distant countries who have accepted this work by necessity and which have no alternative to continue to meet their basic needs.	Finally, and this is something which is most controversial, the committee has called vehemently to use the fast-track procedure to implement this legislation.	It must be true brain of coordination of the network of national agencies which, in turn, will have to activate and coordinate a network of centres of excellence in food safety at regional level.

You do not even intend to incorporate it into the Treaty, evidence indeed that this text, this exercise was always destined to be laid aside.	- My party has serious reservations about Community law applying to the sale of consumer products, as against applying the concept of mutual recognition of standards.	The Council of Europe, along with the Court of Human Rights, has a wealth of experience of such forms of supervision, and we can build on these.	If we define a clear, binding framework for the Member States, then there should be a longer evaluation period for the various support systems required to satisfy these requirements.	Reiterating the calls made by the European Parliament in its resolution of 16 March 2000, what initiatives does the Presidency of the European Council propose to take with a view to playing a more active role so as to guarantee the full and complete application of the UN peace plan?
You do not even want to incorporate it into the Treaty, which shows that this text was to be put to one side.	My party serious reservations about the regulation of the sale of consumption by means of Community legislation, as it has reservations about the concept of mutual recognition of standards.	Just as the Court of human rights, the Council of Europe also has a solid experience in this regard such forms of control and we can take as a basis.	If we define a clear and binding framework for the Member States, the various systems to meet these demands should have a longer period of put to the test.	As the European Parliament asked it in its resolution of March 16, 2000, that they initiatives the presidency of the European Council does hope to take to play a more active part in order to guarantee the application full and whole peace plan of UNO?

A step in the right direction, for which the European Parliament has been striving for a long time now, is the creation of a provisional unit for judicial cooperation.	And I am telling you loud and clear: Kostunica must be given his chance here and I therefore hope that he will give amnesty in the next couple of weeks or months, but meanwhile, I do want the introduction of those two new budget lines, democratisation and reconstruction, to be accompanied by political conditions, both from a political and budgetary perspective.	We shall have to speak with just one disagreeable voice in the WTO.	The lesson for this Parliament this morning must be that we have to conclude that maritime laws throughout the world are in a state of shambles and we have to begin the process of putting them right.	This is a vague area, and it is possible that more restrictive provisions may also remain in force, and this is one point in respect of which we have tabled amendments.
The creation of a provisional judicial cooperation is a step in the right direction, which the European Parliament for a long time.	And I say to you very clearly: we need to give its opportunity to Koitunica, and I therefore hope that he will ensure an amnesty over the coming weeks or months; but meanwhile, I hope, however, that, in political terms and in budgetary terms, political conditions are linked to the introduction of these two new budget lines, namely democratisation and reconstruction.	We shall talk with one voice disgracieuse within the WTO.	The lesson which this Parliament in her debate of this morning must retain is that we are forced to conclude that the maritime laws are, all over the world, in a state of disorder, and that we must harness ourselves with the task to put order at it.	The things are not clear on this point, and it is not impossible that can also remain in force more restrictive provisions. It is in particular on this point that we introduced amendments.

The lesson for this Parliament this morning must be that we have to conclude that maritime laws throughout the world are in a state of shambles and we have to begin the process of putting them right.	Mr President, we took a great deal of care over preparing the Karamanou report in the Committee on Citizens' Freedoms and Rights, Justice and Home Affairs.	It is this kind of future I would also like to see in the other countries within the European Union.	As a matter of urgency, therefore, the staff complement of the Interdepartmental Group attached to the Commission Secretariat should be strengthened at the earliest possible opportunity in order to ensure that all proposals for acts which are general in scope are accompanied, when considered by the College of Commissioners and on the basis of Article 299(2), by a simplified sheet outlining their potential impact.	It is a matter of the utmost importance and yet has curiously attracted very little public attention.
The lesson that must keep this Assembly in its debate of this morning is that we are forced to conclude that the maritime laws are, all over the world, in a State of mess, and that we should get down to the task to put in order.	Mr President, the Committee on Citizens' Freedoms and Rights, Justice and we are to retain any prepared very carefully the Karamanou report.	This is a development of this type that I wish to other States of the European Union.	Thus, it is urgent that manpower of the Interdepartmental Group are very quickly reinforced with the cur of the General Secretariat of the Commission, so that all the proposals of act of general scope can be accompanied, during their examination by the college on basis of Article 299, paragraph 2, of a detailed impact statement.	The task, which is important, however, did not arouse great interest on the part of the public yet.

When we are faced with a potential risk, it is important to apply the precautionary principle.	B5-0794/2000, by Mr Medina Ortega, Mr Linkohr and Mr Fava, on behalf of the Group of the Party of European Socialists, on the kidnap in Colombia of a Spanish Jesuit engaged in negotiations with the guerillas;	Action is needed quickly, which is why we decided to include this item on the agenda.	If we want to help Indonesia we must act now with money and deeds, not merely words.	This is our priority fight in order to ensure that the affirmation of fundamental rights is put into practice in our political decisions.
When we are confronted with a potential risk, it is important to implement the precautionary principle.	(B5-0794/2000, by Mr Medina Ortega, Linkohr and Fava, on behalf of the Group of the Party of European Socialists, on the kidnapping in Colombia of a Spanish Jesuit engaged in negotiations with the guerillas;	There is urgency and therefore we decided to put this point at the order of business.	If we want to help Indonesia, we now have to intervene with money and concrete actions, and not only with words.	It is our priority fight so that the affirmation of fundamental rights is implemented in political choices.

